action;price;state
buyEURUSD;1.17004;(1, -1, 0)
buyAUDUSD;0.78806;(1, -1, 0)
buyGBPUSD;1.2866;(1, -1, 0)
buyAUDUSD;0.78816;(1, -1, 0)
buyGBPUSD;1.28638;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28653;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17068;(1, -1, 0)
buyEURUSD;1.17068;(1, -1, 0)
buyGBPUSD;1.28659;(1, -1, 0)
buyAUDUSD;0.78868;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28636;(1, -1, 0)
buyGBPUSD;1.28643;(1, -1, 0)
buyAUDUSD;0.78822;(1, -1, 0)
buyEURUSD;1.17042;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyGBPUSD;1.28642;(1, -1, 0)
buyEURUSD;1.17096;(1, -1, 0)
buyEURUSD;1.17072;(1, -1, 0)
buyAUDUSD;0.78842;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 0)
buyEURUSD;1.17035;(1, -1, 0)
buyEURUSD;1.17035;(1, -1, 0)
buyAUDUSD;0.78819;(1, -1, 0)
buyGBPUSD;1.28612;(1, -1, 0)
buyGBPUSD;1.2861;(1, -1, 0)
buyGBPUSD;1.28597;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16976;(1, -1, 1)
buyGBPUSD;1.28538;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28538;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16996;(1, -1, 1)
buyGBPUSD;1.28558;(1, -1, 1)
buyAUDUSD;0.78812;(1, -1, 1)
buyAUDUSD;0.78802;(1, -1, 1)
buyGBPUSD;1.28561;(1, -1, 1)
buyEURUSD;1.16991;(1, -1, 1)
buyEURUSD;1.17004;(1, -1, 1)
buyAUDUSD;0.7883;(1, -1, 1)
buyEURUSD;1.17003;(1, -1, 0)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 0)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78819;(1, -1, 1)
buyEURUSD;1.1703;(1, -1, 1)
buyGBPUSD;1.28579;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16979;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17009;(1, -1, 1)
buyAUDUSD;0.78857;(1, -1, 1)
buyAUDUSD;0.78857;(1, -1, 1)
buyAUDUSD;0.78857;(1, -1, 1)
buyEURUSD;1.16997;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78846;(1, -1, 1)
buyEURUSD;1.16992;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.16984;(1, -1, 1)
buyAUDUSD;0.78858;(1, -1, 1)
buyAUDUSD;0.78854;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28497;(1, -1, 1)
buyAUDUSD;0.78854;(1, -1, 1)
buyAUDUSD;0.78865;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28494;(1, -1, 1)
buyGBPUSD;1.28491;(1, -1, 1)
buyAUDUSD;0.78886;(1, -1, 1)
nothing;0.0;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.285;(1, -1, 1)
buyEURUSD;1.16987;(1, -1, 1)
buyAUDUSD;0.78892;(1, -1, 1)
buyAUDUSD;0.78885;(1, -1, 1)
buyGBPUSD;1.28493;(1, -1, 1)
buyEURUSD;1.16927;(1, -1, 2)
buyEURUSD;1.16929;(1, -1, 1)
buyAUDUSD;0.78862;(1, -1, 1)
buyEURUSD;1.16933;(1, -1, 1)
buyEURUSD;1.16928;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78865;(1, -1, 1)
buyAUDUSD;0.78859;(1, -1, 1)
buyAUDUSD;0.78863;(1, -1, 1)
buyEURUSD;1.16942;(1, -1, 1)
buyGBPUSD;1.28486;(1, -1, 1)
buyAUDUSD;0.78864;(1, -1, 1)
buyGBPUSD;1.28481;(1, -1, 1)
buyAUDUSD;0.78861;(1, -1, 1)
buyEURUSD;1.16949;(1, -1, 1)
buyEURUSD;1.16957;(1, -1, 1)
buyGBPUSD;1.28485;(1, -1, 1)
buyGBPUSD;1.28486;(1, -1, 1)
buyAUDUSD;0.78864;(1, -1, 1)
buyAUDUSD;0.78876;(1, -1, 1)
buyEURUSD;1.1699;(1, -1, 1)
buyGBPUSD;1.28534;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyAUDUSD;0.78874;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyGBPUSD;1.28491;(1, -1, 1)
buyGBPUSD;1.28495;(1, -1, 1)
nothing;0.0;(1, -1, 1)
buyEURUSD;1.17032;(1, -1, 1)
sellEURUSD;1.17058;(1, -1, 1)
buyEURUSD;1.17059;(1, -1, 1)
buyGBPUSD;1.28492;(1, -1, 1)
buyGBPUSD;1.2851;(1, -1, 1)
buyEURUSD;1.17111;(0, -1, 1)
buyEURUSD;1.17115;(0, -1, 1)
sellAUDUSD;0.78884;(0, -1, 1)
buyEURUSD;1.17134;(0, -1, 1)
buyGBPUSD;1.28521;(0, -1, 1)
buyGBPUSD;1.28523;(0, -1, 1)
buyAUDUSD;0.78886;(1, -1, 1)
nothing;0.0;(0, -2, 1)
nothing;0.0;(0, -1, 1)
buyAUDUSD;0.78925;(0, -1, 0)
buyEURUSD;1.17249;(0, -2, 0)
nothing;0.0;(0, -2, 0)
buyAUDUSD;0.78933;(0, -1, 0)
buyGBPUSD;1.28613;(0, -1, 0)
