Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
-174.3526600000021;408.929679999993;95207.92968000002;95033.57702000001;2103
-166.23677999999651;408.929679999993;95207.92968000002;95041.69290000002;2104
-153.59694000000496;408.929679999993;95207.92968000002;95054.33274000001;2105
-171.44900000000231;408.929679999993;95207.92968000002;95036.48068000001;2106
-189.42070000000538;408.929679999993;95207.92968000002;95018.50898000001;2107
-218.78875999999403;408.929679999993;95207.92968000002;94989.14092000002;2108
-222.77848000000873;408.929679999993;95207.92968000002;94985.15120000001;2109
-202.06578000000124;408.929679999993;95207.92968000002;95005.86390000001;2110
-205.5375400000075;408.929679999993;95207.92968000002;95002.39214000001;2111
-206.3315200000068;408.929679999993;95207.92968000002;95001.59816000001;2112
-227.46231999999506;408.929679999993;95207.92968000002;94980.46736000002;2113
-212.59640000000093;408.929679999993;95207.92968000002;94995.33328000002;2114
-217.57957999998956;408.929679999993;95207.92968000002;94990.35010000003;2115
-241.0625399999962;408.929679999993;95207.92968000002;94966.86714000002;2116
-259.03803999999946;408.929679999993;95207.92968000002;94948.89164000002;2117
-263.74408000000494;408.929679999993;95207.92968000002;94944.18560000001;2118
-268.5318400000111;408.929679999993;95207.92968000002;94939.39784;2119
-259.9340899999987;408.929679999993;95207.92968000002;94947.99559000002;2120
-260.89422999999584;408.929679999993;95207.92968000002;94947.03545000002;2121
-255.10281999999768;408.929679999993;95207.92968000002;94952.82686000002;2122
-246.26931000000843;408.929679999993;95207.92968000002;94961.66037000001;2123
-239.18205000000708;408.929679999993;95207.92968000002;94968.74763000001;2124
-255.47788999999528;408.929679999993;95207.92968000002;94952.45179000002;2125
-245.77150999999913;408.929679999993;95207.92968000002;94962.15817000001;2126
-244.24333000000047;408.929679999993;95207.92968000002;94963.68635000002;2127
-246.1321100000003;408.929679999993;95207.92968000002;94961.79757000001;2128
-252.43676000000258;408.929679999993;95207.92968000002;94955.49292000002;2129
-266.7507000000041;408.929679999993;95207.92968000002;94941.17898000001;2130
-337.92907999999954;408.929679999993;95207.92968000002;94870.00060000001;2131
-314.5013799999951;408.929679999993;95207.92968000002;94893.42830000001;2132
-307.1988599999895;408.929679999993;95207.92968000002;94900.73082000003;2133
-313.6549399999902;408.929679999993;95207.92968000002;94894.27474000002;2134
-327.29464999999834;408.929679999993;95207.92968000002;94880.63503000002;2135
-333.41179000000045;408.929679999993;95207.92968000002;94874.51789000002;2136
-331.1190799999927;408.929679999993;95207.92968000002;94876.81060000003;2137
-323.96440999999294;408.929679999993;95207.92968000002;94883.96527000003;2138
-298.05666999999437;408.929679999993;95207.92968000002;94909.87301000002;2139
-281.01599999999206;408.929679999993;95207.92968000002;94926.91368000003;2140
-276.69946999999365;408.929679999993;95207.92968000002;94931.23021000002;2141
-288.6500200000032;408.929679999993;95207.92968000002;94919.27966000001;2142
-285.29228999999356;408.929679999993;95207.92968000002;94922.63739000002;2143
-285.89261000000806;408.929679999993;95207.92968000002;94922.03707;2144
-263.92775000000046;408.929679999993;95207.92968000002;94944.00193000001;2145
-249.0679499999854;408.929679999993;95207.92968000002;94958.86173000003;2146
-279.2620899999928;408.929679999993;95207.92968000002;94928.66759000003;2147
-273.8741699999872;408.929679999993;95207.92968000002;94934.05551000003;2148
-248.03195999998607;408.929679999993;95207.92968000002;94959.89772000002;2149
-208.60359000000128;408.929679999993;95207.92968000002;94999.32609000002;2150
-213.98621999999673;408.929679999993;95207.92968000002;94993.94346000002;2151
-210.63936999999714;408.929679999993;95207.92968000002;94997.29031000001;2152
-241.1412099999979;408.929679999993;95207.92968000002;94966.78847000001;2153
-252.49018999999336;408.929679999993;95207.92968000002;94955.43949000002;2154
-262.06684000000524;408.929679999993;95207.92968000002;94945.86284000002;2155
-262.1957399999973;408.929679999993;95207.92968000002;94945.73394000002;2156
-250.36344999999363;408.929679999993;95207.92968000002;94957.56623000003;2157
-227.83968999998416;408.929679999993;95207.92968000002;94980.08999000004;2158
-241.43400999999372;408.929679999993;95207.92968000002;94966.49567000002;2159
-224.64470999999085;419.1488299999916;95218.14883000002;94993.50412000003;2160
-236.76223999998848;419.1488299999916;95218.14883000002;94981.38659000004;2161
-235.47246000001067;419.1488299999916;95218.14883000002;94982.67637000002;2162
-213.72883000000354;419.1488299999916;95218.14883000002;95004.42000000001;2163
-215.9001500000002;419.1488299999916;95218.14883000002;95002.24868000002;2164
-242.91673000000876;419.1488299999916;95218.14883000002;94975.23210000001;2165
-214.81541999999095;431.8169199999907;95230.81692000001;95016.00150000003;2166
-210.73711000001018;431.8169199999907;95230.81692000001;95020.07981;2167
-207.54764999998923;431.8169199999907;95230.81692000001;95023.26927000002;2168
-208.0894699999889;431.8169199999907;95230.81692000001;95022.72745000002;2169
